CASENUMBER,VIOLATIONOPENDATE,CITATIONTYPE,CITATIONNUMBER,DEFICIENCYCODE,DEFICIENCYTEXT,FEEAMOUNT,OUTSTANDINGFEE,LEGALOUTCOME,LEGALOUTCOMEDATE
2018-012956 CV,01/31/2018 12:00:00 AM +0000,Admin Hearing Citation,002452,80711,"A short-term rental use may not be used by more than:(1) ten adults at one time, unless a stricter limit applies; or(2) six unrelated adults.The property has updated the over occupancy number to 16, up from 14 previously noted.",1000,1080,Liable,02/21/2019 12:00:00 AM +0000
2018-213373 CV,12/20/2018 12:00:00 AM +0000,Admin Hearing Citation,004622,80710,A person must obtain a license to operate a short-term rental before a property may be used as a short-term rental.,750,878,Liable,06/07/2019 12:00:00 AM +0000
2018-110626 CV,06/28/2018 12:00:00 AM +0000,Admin Hearing Citation,001290,80709,"An owner, or a person in control of a dwelling, may not advertise or promote, or allow another to advertise or promote, the dwelling as a short- term rental if the dwelling is not licensed by the director as a short-term rental.",80,0,Liable,08/16/2018 12:00:00 AM +0000
2018-012956 CV,01/31/2018 12:00:00 AM +0000,Admin Hearing Citation,2454,80711,"A short-term rental use may not be used by more than:(1) ten adults at one time, unless a stricter limit applies; or(2) six unrelated adults.The property has updated the over occupancy number to 16, up from 14 previously noted.",80,830,Liable,07/12/2019 12:00:00 AM +0000
2019-052544 CV,04/06/2019 12:00:00 AM +0000,Admin Hearing Citation,06979,80710,A person must obtain a license to operate a short-term rental before a property may be used as a short-term rental.,128,1128,Liable,07/30/2019 12:00:00 AM +0000
2018-053156 CV,03/13/2018 12:00:00 AM +0000,Admin Hearing Citation,002246,80709,"An owner, or a person in control of a dwelling, may not advertise or promote, or allow another to advertise or promote, the dwelling as a short- term rental if the dwelling is not licensed by the director as a short-term rental.",300,0,Closed/Mailed in Penalty Paid,04/11/2018 12:00:00 AM +0000
2019-027069 CV,02/20/2019 12:00:00 AM +0000,Admin Hearing Citation,004669,80709,"An owner, or a person in control of a dwelling, may not advertise or promote, or allow another to advertise or promote, the dwelling as a short- term rental if the dwelling is not licensed by the director as a short-term rental.",300,0,Liable,07/24/2019 12:00:00 AM +0000
2018-210318 CV,12/14/2018 12:00:00 AM +0000,Admin Hearing Citation,07529,80710,A person must obtain a license to operate a short-term rental before a property may be used as a short-term rental.,500,0,Closed/Mailed in Penalty Paid,06/11/2019 12:00:00 AM +0000
2018-008635 CV,01/23/2018 12:00:00 AM +0000,Admin Hearing Citation,001288,80711,"A short-term rental use may not be used by more than:(1) ten adults at one time, unless a stricter limit applies; or(2) six unrelated adults.",300,0,Liable,02/21/2019 12:00:00 AM +0000
2018-076999 CV,04/26/2018 12:00:00 AM +0000,Admin Hearing Citation,002555,80673,"This section applies to a short-term rental use that is not owner-occupied and is not associated with an owner-occupied principal residential unit.  A short-term rental use under this section may not include the rental of less than an entire dwelling unit, operate without a license as required by Section 25-2-790 (License Requirements), or operate without providing notification to renters as required by Section 25-2-791 (Notification Requirements).",1000,0,Liable,06/18/2019 12:00:00 AM +0000
2018-020570 CV,02/17/2018 12:00:00 AM +0000,Admin Hearing Citation,002238,80710,A person must obtain a license to operate a short-term rental before a property may be used as a short-term rental.,80,715,Penalty Paid,11/08/2018 12:00:00 AM +0000
2019-011865 CV,01/22/2019 12:00:00 AM +0000,Admin Hearing Citation,001295,80672,"This section applies to a short-term rental use that is owner-occupied or is associated with an owner-occupied principal residential unit.  A short-term rental use under this section may not include the rental of less than an entire dwelling unit, operate without a license as required by Section 25-2-790 (License Requirements), or operate without providing notification to renters as required by Section 25-2-791 (Notification Requirements).  For a short-term rental use under this section, a secondary residential unit on the same property may be rented for periods of less than 30 consecutive days for an annual total of more than 90 days.",300,0,Closed/Mailed in Penalty Paid,07/08/2019 12:00:00 AM +0000
2019-025423 CV,02/16/2019 12:00:00 AM +0000,Admin Hearing Citation,07537,80709,"An owner, or a person in control of a dwelling, may not advertise or promote, or allow another to advertise or promote, the dwelling as a short- term rental if the dwelling is not licensed by the director as a short-term rental.",500,0,Liable,08/02/2019 12:00:00 AM +0000
2018-053156 CV,03/13/2018 12:00:00 AM +0000,Admin Hearing Citation,002243,80709,"An owner, or a person in control of a dwelling, may not advertise or promote, or allow another to advertise or promote, the dwelling as a short- term rental if the dwelling is not licensed by the director as a short-term rental.",300,0,Closed/Mailed in Penalty Paid,03/30/2018 12:00:00 AM +0000
2018-020570 CV,02/17/2018 12:00:00 AM +0000,Admin Hearing Citation,002238,80709,"An owner, or a person in control of a dwelling, may not advertise or promote, or allow another to advertise or promote, the dwelling as a short- term rental if the dwelling is not licensed by the director as a short-term rental.",80,715,Closed due to Judicial / Admin Action,11/08/2018 12:00:00 AM +0000
2018-062728 CV,03/30/2018 12:00:00 AM +0000,Admin Hearing Citation,002510,80709,"An owner, or a person in control of a dwelling, may not advertise or promote, or allow another to advertise or promote, the dwelling as a short- term rental if the dwelling is not licensed by the director as a short-term rental.",1000,1080,Liable,12/19/2018 12:00:00 AM +0000
