CASENUMBER,VIOLATIONOPENDATE,CITATIONTYPE,CITATIONNUMBER,DEFICIENCYCODE,DEFICIENCYTEXT,FEEAMOUNT,OUTSTANDINGFEE,LEGALOUTCOME,LEGALOUTCOMEDATE
2018-012956 CV,01/31/2018 12:00:00 AM +0000,Admin Hearing Citation,002453,80711,"A short-term rental use may not be used by more than:(1) ten adults at one time, unless a stricter limit applies; or(2) six unrelated adults.The property has updated the over occupancy number to 16, up from 14 previously noted.",750,830,Liable,02/21/2019 12:00:00 AM +0000
2019-052544 CV,04/06/2019 12:00:00 AM +0000,Admin Hearing Citation,06979,80710,A person must obtain a license to operate a short-term rental before a property may be used as a short-term rental.,500,628,Liable,08/08/2019 12:00:00 AM +0000
2018-110626 CV,06/28/2018 12:00:00 AM +0000,Admin Hearing Citation,001290,80709,"An owner, or a person in control of a dwelling, may not advertise or promote, or allow another to advertise or promote, the dwelling as a short- term rental if the dwelling is not licensed by the director as a short-term rental.",500,0,Liable,08/16/2018 12:00:00 AM +0000
2018-210318 CV,12/14/2018 12:00:00 AM +0000,Admin Hearing Citation,07540,80710,A person must obtain a license to operate a short-term rental before a property may be used as a short-term rental.,500,0,Closed/Mailed in Penalty Paid,04/08/2019 12:00:00 AM +0000
2018-110566 CV,06/28/2018 12:00:00 AM +0000,Admin Hearing Citation,000170,80710,A person must obtain a license to operate a short-term rental before a property may be used as a short-term rental.,750,0,Liable,08/17/2018 12:00:00 AM +0000
2018-210318 CV,12/14/2018 12:00:00 AM +0000,Admin Hearing Citation,07540,80710,A person must obtain a license to operate a short-term rental before a property may be used as a short-term rental.,500,0,Closed/Mailed in Penalty Paid,06/11/2019 12:00:00 AM +0000
2018-151977 CV,08/22/2018 12:00:00 AM +0000,Admin Hearing Citation,5281,80710,A person must obtain a license to operate a short-term rental before a property may be used as a short-term rental.,300,0,Closed/Mailed in Penalty Paid,01/24/2019 12:00:00 AM +0000
2018-076999 CV,04/26/2018 12:00:00 AM +0000,Admin Hearing Citation,001280,80672,"This section applies to a short-term rental use that is owner-occupied or is associated with an owner-occupied principal residential unit.  A short-term rental use under this section may not include the rental of less than an entire dwelling unit, operate without a license as required by Section 25-2-790 (License Requirements), or operate without providing notification to renters as required by Section 25-2-791 (Notification Requirements).  For a short-term rental use under this section, a secondary residential unit on the same property may be rented for periods of less than 30 consecutive days for an annual total of more than 90 days.",80,1080,Liable,06/18/2019 12:00:00 AM +0000
2018-207908 CV,12/10/2018 12:00:00 AM +0000,Admin Hearing Citation,004661,80709,"An owner, or a person in control of a dwelling, may not advertise or promote, or allow another to advertise or promote, the dwelling as a short- term rental if the dwelling is not licensed by the director as a short-term rental.",128,628,Liable,06/04/2019 12:00:00 AM +0000
2018-008635 CV,01/23/2018 12:00:00 AM +0000,Admin Hearing Citation,000063,80710,A person must obtain a license to operate a short-term rental before a property may be used as a short-term rental.,300,0,Liable,07/12/2019 12:00:00 AM +0000
2018-157115 CV,08/31/2018 12:00:00 AM +0000,Admin Hearing Citation,004340,80709,"An owner, or a person in control of a dwelling, may not advertise or promote, or allow another to advertise or promote, the dwelling as a short- term rental if the dwelling is not licensed by the director as a short-term rental.",300,0,Closed/Mailed in Penalty Paid,12/04/2018 12:00:00 AM +0000
2018-130460 CV,08/02/2018 12:00:00 AM +0000,Admin Hearing Citation,005354,80709,"An owner, or a person in control of a dwelling, may not advertise or promote, or allow another to advertise or promote, the dwelling as a short- term rental if the dwelling is not licensed by the director as a short-term rental.",750,0,Liable,10/18/2018 12:00:00 AM +0000
2018-151977 CV,08/22/2018 12:00:00 AM +0000,Admin Hearing Citation,5281,80710,A person must obtain a license to operate a short-term rental before a property may be used as a short-term rental.,300,0,Closed/Mailed in Penalty Paid,12/11/2018 12:00:00 AM +0000
2018-012956 CV,01/31/2018 12:00:00 AM +0000,Admin Hearing Citation,002452,80709,"An owner, or a person in control of a dwelling, may not advertise or promote, or allow another to advertise or promote, the dwelling as a short- term rental if the dwelling is not licensed by the director as a short-term rental.The property was found to be advertising without a license on display.",1000,1080,Liable,07/12/2019 12:00:00 AM +0000
2018-062728 CV,03/30/2018 12:00:00 AM +0000,Admin Hearing Citation,002509,80710,A person must obtain a license to operate a short-term rental before a property may be used as a short-term rental.,1000,0,Liable,12/19/2018 12:00:00 AM +0000
2018-207908 CV,12/10/2018 12:00:00 AM +0000,Admin Hearing Citation,004651,80709,"An owner, or a person in control of a dwelling, may not advertise or promote, or allow another to advertise or promote, the dwelling as a short- term rental if the dwelling is not licensed by the director as a short-term rental.",128,628,Liable,06/04/2019 12:00:00 AM +0000
2018-020570 CV,02/17/2018 12:00:00 AM +0000,Admin Hearing Citation,002238,80710,A person must obtain a license to operate a short-term rental before a property may be used as a short-term rental.,80,830,Closed due to Judicial / Admin Action,11/08/2018 12:00:00 AM +0000
2018-159445 CV,09/06/2018 12:00:00 AM +0000,Admin Hearing Citation,004415,80709,"An owner, or a person in control of a dwelling, may not advertise or promote, or allow another to advertise or promote, the dwelling as a short- term rental if the dwelling is not licensed by the director as a short-term rental.",300,0,Closed/Mailed in Penalty Paid,02/12/2019 12:00:00 AM +0000
2018-053156 CV,03/13/2018 12:00:00 AM +0000,Admin Hearing Citation,002242,80086,A licensee or operator may not advertise or promote or allow another to advertise or promote a short-term rental in violation of the City Code or state law.,300,0,Closed/Mailed in Penalty Paid,04/11/2018 12:00:00 AM +0000
2018-163245 CV,09/13/2018 12:00:00 AM +0000,Admin Hearing Citation,5296,80709,"An owner, or a person in control of a dwelling, may not advertise or promote, or allow another to advertise or promote, the dwelling as a short- term rental if the dwelling is not licensed by the director as a short-term rental.",300,0,Closed/Mailed in Penalty Paid,12/04/2018 12:00:00 AM +0000
2018-207198 CV,12/08/2018 12:00:00 AM +0000,Admin Hearing Citation,005343,80711,"A short-term rental use may not be used by more than:(1) ten adults at one time, unless a stricter limit applies; or(2) six unrelated adults.",128,878,Liable,06/17/2019 12:00:00 AM +0000
2018-008635 CV,01/23/2018 12:00:00 AM +0000,Admin Hearing Citation,001288,80711,"A short-term rental use may not be used by more than:(1) ten adults at one time, unless a stricter limit applies; or(2) six unrelated adults.",300,0,Liable,07/12/2019 12:00:00 AM +0000
2018-172048 CV,09/29/2018 12:00:00 AM +0000,Admin Hearing Citation,4478,80709,"An owner, or a person in control of a dwelling, may not advertise or promote, or allow another to advertise or promote, the dwelling as a short- term rental if the dwelling is not licensed by the director as a short-term rental.",300,0,Closed/Mailed in Penalty Paid,02/12/2019 12:00:00 AM +0000
2018-118735 CV,07/14/2018 12:00:00 AM +0000,Admin Hearing Citation,005175,80710,A person must obtain a license to operate a short-term rental before a property may be used as a short-term rental.,80,0,Liable,10/02/2018 12:00:00 AM +0000
2018-159445 CV,09/06/2018 12:00:00 AM +0000,Admin Hearing Citation,4412,80709,"An owner, or a person in control of a dwelling, may not advertise or promote, or allow another to advertise or promote, the dwelling as a short- term rental if the dwelling is not licensed by the director as a short-term rental.",300,0,Closed/Mailed in Penalty Paid,02/12/2019 12:00:00 AM +0000
2018-008635 CV,01/23/2018 12:00:00 AM +0000,Admin Hearing Citation,000063,80710,A person must obtain a license to operate a short-term rental before a property may be used as a short-term rental.,300,0,Liable,02/21/2019 12:00:00 AM +0000
2018-159445 CV,09/06/2018 12:00:00 AM +0000,Admin Hearing Citation,004414,80709,"An owner, or a person in control of a dwelling, may not advertise or promote, or allow another to advertise or promote, the dwelling as a short- term rental if the dwelling is not licensed by the director as a short-term rental.",300,0,Closed/Mailed in Penalty Paid,12/11/2018 12:00:00 AM +0000
2018-130460 CV,08/02/2018 12:00:00 AM +0000,Admin Hearing Citation,005353,80086,25-2-794 - GENERAL REQUIREMENTS FOR SHORT-TERM RENTALS.A licensee or operator may not advertise or promote or allow another to advertise or promote a short-term rental without including: (1) the license number assigned by the City to the short-term rental; and (2) the applicable occupancy limit for the short-term rental,750,0,Liable,12/18/2018 12:00:00 AM +0000
2019-052544 CV,04/06/2019 12:00:00 AM +0000,Admin Hearing Citation,06977,80710,A person must obtain a license to operate a short-term rental before a property may be used as a short-term rental.,128,628,Liable,08/08/2019 12:00:00 AM +0000
2018-130460 CV,08/02/2018 12:00:00 AM +0000,Admin Hearing Citation,005353,80086,25-2-794 - GENERAL REQUIREMENTS FOR SHORT-TERM RENTALS.A licensee or operator may not advertise or promote or allow another to advertise or promote a short-term rental without including: (1) the license number assigned by the City to the short-term rental; and (2) the applicable occupancy limit for the short-term rental,500,0,Liable,12/18/2018 12:00:00 AM +0000
2019-134054 CV,06/14/2019 12:00:00 AM +0000,Admin Hearing Citation,08273,80711,"A short-term rental use may not be used by more than:(1) ten adults at one time, unless a stricter limit applies; or(2) six unrelated adults.",500,0,Closed/Mailed in Penalty Paid,07/10/2019 12:00:00 AM +0000
2018-062728 CV,03/30/2018 12:00:00 AM +0000,Admin Hearing Citation,002509,80710,A person must obtain a license to operate a short-term rental before a property may be used as a short-term rental.,80,1080,Liable,06/18/2019 12:00:00 AM +0000
2018-008635 CV,01/23/2018 12:00:00 AM +0000,Admin Hearing Citation,000063,80710,A person must obtain a license to operate a short-term rental before a property may be used as a short-term rental.,80,0,Liable,07/12/2019 12:00:00 AM +0000
2018-008635 CV,01/23/2018 12:00:00 AM +0000,Admin Hearing Citation,000063,80710,A person must obtain a license to operate a short-term rental before a property may be used as a short-term rental.,80,0,Liable,07/12/2019 12:00:00 AM +0000
2018-008635 CV,01/23/2018 12:00:00 AM +0000,Admin Hearing Citation,000063,80710,A person must obtain a license to operate a short-term rental before a property may be used as a short-term rental.,80,0,Liable,07/12/2019 12:00:00 AM +0000
2018-207889 CV,12/10/2018 12:00:00 AM +0000,Admin Hearing Citation,005323,80709,"An owner, or a person in control of a dwelling, may not advertise or promote, or allow another to advertise or promote, the dwelling as a short- term rental if the dwelling is not licensed by the director as a short-term rental.",300,0,Closed/Mailed in Penalty Paid,12/27/2018 12:00:00 AM +0000
2019-027069 CV,02/20/2019 12:00:00 AM +0000,Admin Hearing Citation,004664,80710,A person must obtain a license to operate a short-term rental before a property may be used as a short-term rental.,128,0,Liable,07/24/2019 12:00:00 AM +0000
2019-052544 CV,04/06/2019 12:00:00 AM +0000,Admin Hearing Citation,06977,80709,"An owner, or a person in control of a dwelling, may not advertise or promote, or allow another to advertise or promote, the dwelling as a short- term rental if the dwelling is not licensed by the director as a short-term rental.",128,1128,Liable,08/08/2019 12:00:00 AM +0000
2019-056884 CV,04/12/2019 12:00:00 AM +0000,Admin Hearing Citation,06978,80710,A person must obtain a license to operate a short-term rental before a property may be used as a short-term rental.,128,878,Liable,07/24/2019 12:00:00 AM +0000
2018-017514 CV,02/12/2018 12:00:00 AM +0000,Admin Hearing Citation,002125,80711,"A short-term rental use may not be used by more than:(1) ten adults at one time, unless a stricter limit applies; or(2) six unrelated adults. A total of nine guest were observed as over night guest.",80,1080,Liable,07/11/2019 12:00:00 AM +0000
2018-118735 CV,07/14/2018 12:00:00 AM +0000,Admin Hearing Citation,005175,80709,"An owner, or a person in control of a dwelling, may not advertise or promote, or allow another to advertise or promote, the dwelling as a short- term rental if the dwelling is not licensed by the director as a short-term rental.",500,0,Liable,12/18/2018 12:00:00 AM +0000
2018-136447 CV,08/11/2018 12:00:00 AM +0000,Admin Hearing Citation,5277,80708,A licensee or operator may not advertise or promote or allow another to advertise or promote a short-term rental in violation of the City Code or state law.,1000,1080,Liable,06/18/2019 12:00:00 AM +0000
2018-207908 CV,12/10/2018 12:00:00 AM +0000,Admin Hearing Citation,004661,80709,"An owner, or a person in control of a dwelling, may not advertise or promote, or allow another to advertise or promote, the dwelling as a short- term rental if the dwelling is not licensed by the director as a short-term rental.",500,628,Liable,06/19/2019 12:00:00 AM +0000
2018-118735 CV,07/14/2018 12:00:00 AM +0000,Admin Hearing Citation,005175,80709,"An owner, or a person in control of a dwelling, may not advertise or promote, or allow another to advertise or promote, the dwelling as a short- term rental if the dwelling is not licensed by the director as a short-term rental.",80,0,Liable,10/02/2018 12:00:00 AM +0000
2018-017514 CV,02/12/2018 12:00:00 AM +0000,Admin Hearing Citation,002125,80710,A person must obtain a license to operate a short-term rental before a property may be used as a short-term rental.Occupants were found renting this property.,80,1080,Liable,07/11/2019 12:00:00 AM +0000
2018-207198 CV,12/08/2018 12:00:00 AM +0000,Admin Hearing Citation,005344,80711,"A short-term rental use may not be used by more than:(1) ten adults at one time, unless a stricter limit applies; or(2) six unrelated adults.",750,878,Liable,06/17/2019 12:00:00 AM +0000
2018-076999 CV,04/26/2018 12:00:00 AM +0000,Admin Hearing Citation,001280,80710,A person must obtain a license to operate a short-term rental before a property may be used as a short-term rental.,1000,1080,Liable,06/18/2019 12:00:00 AM +0000
2018-062728 CV,03/30/2018 12:00:00 AM +0000,Admin Hearing Citation,002510,80710,A person must obtain a license to operate a short-term rental before a property may be used as a short-term rental.,1000,1080,Liable,12/19/2018 12:00:00 AM +0000
2019-027069 CV,02/20/2019 12:00:00 AM +0000,Admin Hearing Citation,004669,80709,"An owner, or a person in control of a dwelling, may not advertise or promote, or allow another to advertise or promote, the dwelling as a short- term rental if the dwelling is not licensed by the director as a short-term rental.",500,0,Liable,07/24/2019 12:00:00 AM +0000
2018-008635 CV,01/23/2018 12:00:00 AM +0000,Admin Hearing Citation,000164,80710,A person must obtain a license to operate a short-term rental before a property may be used as a short-term rental.,300,0,Liable,02/21/2019 12:00:00 AM +0000
2018-062728 CV,03/30/2018 12:00:00 AM +0000,Admin Hearing Citation,002509,80710,A person must obtain a license to operate a short-term rental before a property may be used as a short-term rental.,1000,1080,Liable,06/18/2019 12:00:00 AM +0000
2018-012956 CV,01/31/2018 12:00:00 AM +0000,Admin Hearing Citation,2454,80711,"A short-term rental use may not be used by more than:(1) ten adults at one time, unless a stricter limit applies; or(2) six unrelated adults.The property is advertising more than the maximum allowable guests as permitted by the STR ordinance. NO more than 10 adults.",1000,1000,Liable,02/21/2019 12:00:00 AM +0000
2018-207908 CV,12/10/2018 12:00:00 AM +0000,Admin Hearing Citation,004661,80709,"An owner, or a person in control of a dwelling, may not advertise or promote, or allow another to advertise or promote, the dwelling as a short- term rental if the dwelling is not licensed by the director as a short-term rental.",750,878,Liable,06/04/2019 12:00:00 AM +0000
2018-108006 CV,06/22/2018 12:00:00 AM +0000,Admin Hearing Citation,002139,80710,A person must obtain a license to operate a short-term rental before a property may be used as a short-term rental.,300,0,Penalty Paid,12/27/2018 12:00:00 AM +0000
2018-020570 CV,02/17/2018 12:00:00 AM +0000,Admin Hearing Citation,002239,80709,"An owner, or a person in control of a dwelling, may not advertise or promote, or allow another to advertise or promote, the dwelling as a short- term rental if the dwelling is not licensed by the director as a short-term rental.",80,715,Closed due to Judicial / Admin Action,11/08/2018 12:00:00 AM +0000
2018-163262 CV,09/13/2018 12:00:00 AM +0000,Admin Hearing Citation,5299,80710,A person must obtain a license to operate a short-term rental before a property may be used as a short-term rental.,300,0,Closed/Mailed in Penalty Paid,12/03/2018 12:00:00 AM +0000
2018-207198 CV,12/08/2018 12:00:00 AM +0000,Admin Hearing Citation,005344,80711,"A short-term rental use may not be used by more than:(1) ten adults at one time, unless a stricter limit applies; or(2) six unrelated adults.",1000,1128,Liable,06/17/2019 12:00:00 AM +0000
2018-210318 CV,12/14/2018 12:00:00 AM +0000,Admin Hearing Citation,07529,80709,"An owner, or a person in control of a dwelling, may not advertise or promote, or allow another to advertise or promote, the dwelling as a short- term rental if the dwelling is not licensed by the director as a short-term rental.",-250,-250,Closed/Mailed in Penalty Paid,06/11/2019 12:00:00 AM +0000
2018-012956 CV,01/31/2018 12:00:00 AM +0000,Admin Hearing Citation,002453,80709,"An owner, or a person in control of a dwelling, may not advertise or promote, or allow another to advertise or promote, the dwelling as a short- term rental if the dwelling is not licensed by the director as a short-term rental.The property was found to be advertising without a license on display.",80,830,Liable,07/12/2019 12:00:00 AM +0000
2018-060468 CV,03/27/2018 12:00:00 AM +0000,Admin Hearing Citation,002552,80711,"A short-term rental use may not be used by more than:(1) ten adults at one time, unless a stricter limit applies; or(2) six unrelated adults.",1000,1000,Liable,07/12/2019 12:00:00 AM +0000
2018-207198 CV,12/08/2018 12:00:00 AM +0000,Admin Hearing Citation,005344,80709,"An owner, or a person in control of a dwelling, may not advertise or promote, or allow another to advertise or promote, the dwelling as a short- term rental if the dwelling is not licensed by the director as a short-term rental.",128,878,Liable,06/17/2019 12:00:00 AM +0000
2018-012956 CV,01/31/2018 12:00:00 AM +0000,Admin Hearing Citation,002452,80711,"A short-term rental use may not be used by more than:(1) ten adults at one time, unless a stricter limit applies; or(2) six unrelated adults.The property is advertising more than the maximum allowable guests as permitted by the STR ordinance. NO more than 10 adults.",1000,1000,Liable,07/12/2019 12:00:00 AM +0000
2018-101104 CV,06/11/2018 12:00:00 AM +0000,Admin Hearing Citation,001300,80086,§ 25-2-794 - GENERAL REQUIREMENTS FOR SHORT-TERM RENTALS.A licensee or operator may not advertise or promote or allow another to advertise or promote a short-term rental without including: (1) the license number assigned by the City to the short-term rental; and (2) the applicable occupancy limit for the short-term rental.,128,853,Liable,06/04/2019 12:00:00 AM +0000
2018-008635 CV,01/23/2018 12:00:00 AM +0000,Admin Hearing Citation,000064,80710,A person must obtain a license to operate a short-term rental before a property may be used as a short-term rental.,300,0,Liable,02/21/2019 12:00:00 AM +0000
2018-008635 CV,01/23/2018 12:00:00 AM +0000,Admin Hearing Citation,001288,80711,"A short-term rental use may not be used by more than:(1) ten adults at one time, unless a stricter limit applies; or(2) six unrelated adults.",500,0,Liable,07/12/2019 12:00:00 AM +0000
2018-102667 CV,06/13/2018 12:00:00 AM +0000,Admin Hearing Citation,001289,80709,"An owner, or a person in control of a dwelling, may not advertise or promote, or allow another to advertise or promote, the dwelling as a short- term rental if the dwelling is not licensed by the director as a short-term rental.",300,0,Closed/Mailed in Penalty Paid,07/12/2018 12:00:00 AM +0000
2018-132012 CV,08/06/2018 12:00:00 AM +0000,Admin Hearing Citation,005364,80710,A person must obtain a license to operate a short-term rental before a property may be used as a short-term rental.,300,0,Penalty Paid,12/27/2018 12:00:00 AM +0000
2018-119316 CV,07/16/2018 12:00:00 AM +0000,Admin Hearing Citation,005160,80709,"An owner, or a person in control of a dwelling, may not advertise or promote, or allow another to advertise or promote, the dwelling as a short- term rental if the dwelling is not licensed by the director as a short-term rental.",1000,1128,Liable,01/08/2019 12:00:00 AM +0000
2018-210318 CV,12/14/2018 12:00:00 AM +0000,Admin Hearing Citation,07529,80709,"An owner, or a person in control of a dwelling, may not advertise or promote, or allow another to advertise or promote, the dwelling as a short- term rental if the dwelling is not licensed by the director as a short-term rental.",500,0,Closed/Mailed in Penalty Paid,06/11/2019 12:00:00 AM +0000
2019-052544 CV,04/06/2019 12:00:00 AM +0000,Admin Hearing Citation,06977,80709,"An owner, or a person in control of a dwelling, may not advertise or promote, or allow another to advertise or promote, the dwelling as a short- term rental if the dwelling is not licensed by the director as a short-term rental.",128,628,Liable,07/30/2019 12:00:00 AM +0000
2019-005512 CV,01/08/2019 12:00:00 AM +0000,Admin Hearing Citation,004236,80709,"An owner, or a person in control of a dwelling, may not advertise or promote, or allow another to advertise or promote, the dwelling as a short- term rental if the dwelling is not licensed by the director as a short-term rental.",1000,528,Closed/Mailed in Penalty Paid,05/22/2019 12:00:00 AM +0000
2018-012956 CV,01/31/2018 12:00:00 AM +0000,Admin Hearing Citation,2454,80709,"An owner, or a person in control of a dwelling, may not advertise or promote, or allow another to advertise or promote, the dwelling as a short- term rental if the dwelling is not licensed by the director as a short-term rental.The property was found to be advertising without a license on display.",80,830,Liable,07/12/2019 12:00:00 AM +0000
2018-012956 CV,01/31/2018 12:00:00 AM +0000,Admin Hearing Citation,002452,80709,"An owner, or a person in control of a dwelling, may not advertise or promote, or allow another to advertise or promote, the dwelling as a short- term rental if the dwelling is not licensed by the director as a short-term rental.The property was found to be advertising without a license on display.",80,830,Liable,02/21/2019 12:00:00 AM +0000
2018-020570 CV,02/17/2018 12:00:00 AM +0000,Admin Hearing Citation,002238,80710,A person must obtain a license to operate a short-term rental before a property may be used as a short-term rental.,750,830,Penalty Paid,11/08/2018 12:00:00 AM +0000
2019-025423 CV,02/16/2019 12:00:00 AM +0000,Admin Hearing Citation,07537,80709,"An owner, or a person in control of a dwelling, may not advertise or promote, or allow another to advertise or promote, the dwelling as a short- term rental if the dwelling is not licensed by the director as a short-term rental.",128,0,Liable,08/02/2019 12:00:00 AM +0000
2018-163226 CV,09/13/2018 12:00:00 AM +0000,Admin Hearing Citation,005193,80710,A person must obtain a license to operate a short-term rental before a property may be used as a short-term rental.,500,0,Liable,12/19/2018 12:00:00 AM +0000
2018-119316 CV,07/16/2018 12:00:00 AM +0000,Admin Hearing Citation,005158,80709,"An owner, or a person in control of a dwelling, may not advertise or promote, or allow another to advertise or promote, the dwelling as a short- term rental if the dwelling is not licensed by the director as a short-term rental.",1000,1128,Liable,01/08/2019 12:00:00 AM +0000
2018-213373 CV,12/20/2018 12:00:00 AM +0000,Admin Hearing Citation,06992,80710,A person must obtain a license to operate a short-term rental before a property may be used as a short-term rental.,750,878,Liable,06/07/2019 12:00:00 AM +0000
2018-119316 CV,07/16/2018 12:00:00 AM +0000,Admin Hearing Citation,005161,80709,"An owner, or a person in control of a dwelling, may not advertise or promote, or allow another to advertise or promote, the dwelling as a short- term rental if the dwelling is not licensed by the director as a short-term rental.",1000,1128,Liable,01/08/2019 12:00:00 AM +0000
2018-213373 CV,12/20/2018 12:00:00 AM +0000,Admin Hearing Citation,06992,80710,A person must obtain a license to operate a short-term rental before a property may be used as a short-term rental.,128,878,Liable,06/07/2019 12:00:00 AM +0000
2018-008635 CV,01/23/2018 12:00:00 AM +0000,Admin Hearing Citation,000064,80711,"A short-term rental use may not be used by more than:(1) ten adults at one time, unless a stricter limit applies; or(2) six unrelated adults.",1000,0,Liable,07/12/2019 12:00:00 AM +0000
2018-055026 CV,03/17/2018 12:00:00 AM +0000,Admin Hearing Citation,002504,80710,A person must obtain a license to operate a short-term rental before a property may be used as a short-term rental.,750,0,Penalty Paid,08/06/2018 12:00:00 AM +0000
2018-020570 CV,02/17/2018 12:00:00 AM +0000,Admin Hearing Citation,002239,80710,A person must obtain a license to operate a short-term rental before a property may be used as a short-term rental.,80,715,Closed due to Judicial / Admin Action,11/08/2018 12:00:00 AM +0000
2018-020511 CV,02/16/2018 12:00:00 AM +0000,Admin Hearing Citation,002237,80709,"An owner, or a person in control of a dwelling, may not advertise or promote, or allow another to advertise or promote, the dwelling as a short- term rental if the dwelling is not licensed by the director as a short-term rental.",500,0,Penalty Paid,05/17/2018 12:00:00 AM +0000
2018-017514 CV,02/12/2018 12:00:00 AM +0000,Admin Hearing Citation,002140,80710,A person must obtain a license to operate a short-term rental before a property may be used as a short-term rental.Occupants were found renting this property.,80,1080,Liable,07/11/2019 12:00:00 AM +0000
2018-213373 CV,12/20/2018 12:00:00 AM +0000,Admin Hearing Citation,06992,80711,"A short-term rental use may not be used by more than:(1) ten adults at one time, unless a stricter limit applies; or(2) six unrelated adults.",750,878,Liable,06/07/2019 12:00:00 AM +0000
2018-012956 CV,01/31/2018 12:00:00 AM +0000,Admin Hearing Citation,002452,80709,"An owner, or a person in control of a dwelling, may not advertise or promote, or allow another to advertise or promote, the dwelling as a short- term rental if the dwelling is not licensed by the director as a short-term rental.The property was found to be advertising without a license on display.",80,1080,Liable,02/21/2019 12:00:00 AM +0000
2018-130460 CV,08/02/2018 12:00:00 AM +0000,Admin Hearing Citation,005354,80709,"An owner, or a person in control of a dwelling, may not advertise or promote, or allow another to advertise or promote, the dwelling as a short- term rental if the dwelling is not licensed by the director as a short-term rental.",128,0,Liable,10/18/2018 12:00:00 AM +0000
2018-130460 CV,08/02/2018 12:00:00 AM +0000,Admin Hearing Citation,005354,80709,"An owner, or a person in control of a dwelling, may not advertise or promote, or allow another to advertise or promote, the dwelling as a short- term rental if the dwelling is not licensed by the director as a short-term rental.",128,0,Liable,10/18/2018 12:00:00 AM +0000
2018-210318 CV,12/14/2018 12:00:00 AM +0000,Admin Hearing Citation,07540,80709,"An owner, or a person in control of a dwelling, may not advertise or promote, or allow another to advertise or promote, the dwelling as a short- term rental if the dwelling is not licensed by the director as a short-term rental.",-250,-250,Closed/Mailed in Penalty Paid,06/11/2019 12:00:00 AM +0000
2018-020570 CV,02/17/2018 12:00:00 AM +0000,Admin Hearing Citation,002239,80709,"An owner, or a person in control of a dwelling, may not advertise or promote, or allow another to advertise or promote, the dwelling as a short- term rental if the dwelling is not licensed by the director as a short-term rental.",80,715,Penalty Paid,11/08/2018 12:00:00 AM +0000
2018-113789 CV,07/05/2018 12:00:00 AM +0000,Admin Hearing Citation,005153,80709,"An owner, or a person in control of a dwelling, may not advertise or promote, or allow another to advertise or promote, the dwelling as a short- term rental if the dwelling is not licensed by the director as a short-term rental.",500,0,Liable,12/18/2018 12:00:00 AM +0000
2018-113789 CV,07/05/2018 12:00:00 AM +0000,Admin Hearing Citation,005153,80709,"An owner, or a person in control of a dwelling, may not advertise or promote, or allow another to advertise or promote, the dwelling as a short- term rental if the dwelling is not licensed by the director as a short-term rental.",500,0,Liable,12/18/2018 12:00:00 AM +0000
2018-008635 CV,01/23/2018 12:00:00 AM +0000,Admin Hearing Citation,001288,80711,"A short-term rental use may not be used by more than:(1) ten adults at one time, unless a stricter limit applies; or(2) six unrelated adults.",500,0,Liable,02/21/2019 12:00:00 AM +0000
2018-076999 CV,04/26/2018 12:00:00 AM +0000,Admin Hearing Citation,002555,80673,"This section applies to a short-term rental use that is not owner-occupied and is not associated with an owner-occupied principal residential unit.  A short-term rental use under this section may not include the rental of less than an entire dwelling unit, operate without a license as required by Section 25-2-790 (License Requirements), or operate without providing notification to renters as required by Section 25-2-791 (Notification Requirements).",1000,1080,Liable,06/18/2019 12:00:00 AM +0000
2018-119316 CV,07/16/2018 12:00:00 AM +0000,Admin Hearing Citation,005160,80709,"An owner, or a person in control of a dwelling, may not advertise or promote, or allow another to advertise or promote, the dwelling as a short- term rental if the dwelling is not licensed by the director as a short-term rental.",128,1128,Liable,01/08/2019 12:00:00 AM +0000
2018-020570 CV,02/17/2018 12:00:00 AM +0000,Admin Hearing Citation,002239,80709,"An owner, or a person in control of a dwelling, may not advertise or promote, or allow another to advertise or promote, the dwelling as a short- term rental if the dwelling is not licensed by the director as a short-term rental.",750,830,Closed due to Judicial / Admin Action,11/08/2018 12:00:00 AM +0000
2018-008635 CV,01/23/2018 12:00:00 AM +0000,Admin Hearing Citation,000164,80711,"A short-term rental use may not be used by more than:(1) ten adults at one time, unless a stricter limit applies; or(2) six unrelated adults.",500,0,Liable,07/12/2019 12:00:00 AM +0000
2018-130460 CV,08/02/2018 12:00:00 AM +0000,Admin Hearing Citation,005353,80086,25-2-794 - GENERAL REQUIREMENTS FOR SHORT-TERM RENTALS.A licensee or operator may not advertise or promote or allow another to advertise or promote a short-term rental without including: (1) the license number assigned by the City to the short-term rental; and (2) the applicable occupancy limit for the short-term rental,750,0,Liable,10/18/2018 12:00:00 AM +0000
2018-127972 CV,07/30/2018 12:00:00 AM +0000,Admin Hearing Citation,004229,80672,"This section applies to a short-term rental use that is owner-occupied or is associated with an owner-occupied principal residential unit.  A short-term rental use under this section may not include the rental of less than an entire dwelling unit, operate without a license as required by Section 25-2-790 (License Requirements), or operate without providing notification to renters as required by Section 25-2-791 (Notification Requirements).  For a short-term rental use under this section, a secondary residential unit on the same property may be rented for periods of less than 30 consecutive days for an annual total of more than 90 days.",300,0,Closed/Mailed in Penalty Paid,12/27/2018 12:00:00 AM +0000
2018-210318 CV,12/14/2018 12:00:00 AM +0000,Admin Hearing Citation,07529,80710,A person must obtain a license to operate a short-term rental before a property may be used as a short-term rental.,750,250,Closed/Mailed in Penalty Paid,04/08/2019 12:00:00 AM +0000
